ID Number,Style Name,Price
#DEFG10,Special Occasion Updo,1065+
#DEFG11,Wash and Style,1025+
#DEFG12,Deep Conditioning Treatment,1030+
#DEFG13,Women's Cut,1040+
#DEFG14,Men's Cut ,1020+
#DEFG15,Kid's Cut,1015+
#DEFG16,Bang Trim,1010+
#DEFG17,All Over Color,1080+
#DEFG18,Color Root Touch Up,1070+
#DEFG19,Full Balayage,10110+
#DEFG20,Partial Balayage,1085+
#DEFG21,Reverse Balayage,10115+
#DEFG22,Partial Foil,1085+
#DEFG23,Partial Foil with an All Over Color,10115+
#DEFG24,Full Foil,10110+
#DEFG25,Full Foil with an All Over Color,10140+
#DEFG26,Full Bleach and Tone,10110+
#DEFG27,Bleach and Tone Retouch,1070+
#DEFG28,Corrective Color ,Requires Consultation
#DEFG29,Mini Foil,1045+
#DEFG30,Accent Foil,1050+
#DEFG31,Ombre,10110+
#DEFG32,Designer Perm,1085+
#DEFG33,Extension Consultation,10250+
#DEFG34,Extention Application,10250+
#DEFG35,Extension Move Up,1020+
#DEFG36,Toner ,1025+
#DEFG37,Undercut,1020
